Dato/klokkeslett;NO1;NO2;NO3;NO4;NO5
2023-08-03 Kl. 00-01;0.33659;0.63333;0.18320;0.14656;0.33659
2023-08-03 Kl. 01-02;0.13666;0.13666;0.12079;0.09663;0.13666
2023-08-03 Kl. 02-03;0.04946;0.04946;0.04946;0.03957;0.04946
2023-08-03 Kl. 03-04;0.08066;0.08066;0.07620;0.06096;0.08066
2023-08-03 Kl. 04-05;0.10351;0.10351;0.09794;0.07835;0.10351
2023-08-03 Kl. 05-06;0.33979;0.35651;0.10546;0.08437;0.33979
2023-08-03 Kl. 06-07;0.37601;0.67903;0.20563;0.16450;0.37601
2023-08-03 Kl. 07-08;0.32015;0.90388;0.28978;0.21154;0.32015
2023-08-03 Kl. 08-09;0.36529;0.94498;0.36096;0.21321;0.36529
2023-08-03 Kl. 09-10;0.38243;0.84690;0.38243;0.21165;0.38243
2023-08-03 Kl. 10-11;0.40458;0.65339;0.40458;0.21176;0.40458
2023-08-03 Kl. 11-12;0.42018;0.49624;0.42018;0.21165;0.42018
2023-08-03 Kl. 12-13;0.36905;0.38828;0.36905;0.21076;0.36905
2023-08-03 Kl. 13-14;0.30329;0.30551;0.30329;0.21053;0.30329
2023-08-03 Kl. 14-15;0.25049;0.25049;0.25049;0.20039;0.25049
2023-08-03 Kl. 15-16;0.25439;0.25439;0.25439;0.20351;0.25439
2023-08-03 Kl. 16-17;0.36139;0.36139;0.36139;0.21187;0.36139
2023-08-03 Kl. 17-18;0.43258;0.76554;0.43258;0.21265;0.43258
2023-08-03 Kl. 18-19;0.41920;0.80245;0.41920;0.21376;0.41920
2023-08-03 Kl. 19-20;0.41265;0.80691;0.41265;0.21577;0.41265
2023-08-03 Kl. 20-21;0.41920;0.80789;0.41920;0.21677;0.41920
2023-08-03 Kl. 21-22;0.40541;0.80691;0.40541;0.21889;0.40541
2023-08-03 Kl. 22-23;0.38465;0.79911;0.38465;0.21911;0.38465
2023-08-03 Kl. 23-00;0.36459;0.73224;0.36459;0.21934;0.36459
2023-08-04 Kl. 00-01;0.31274;0.73199;0.24864;0.19891;0.31274
2023-08-04 Kl. 01-02;0.30204;0.79129;0.24498;0.19598;0.30204
2023-08-04 Kl. 02-03;0.28640;0.76086;0.24230;0.19384;0.28640
2023-08-04 Kl. 03-04;0.28218;0.75875;0.22681;0.18145;0.28218
2023-08-04 Kl. 04-05;0.27063;0.75974;0.21131;0.16905;0.27063
2023-08-04 Kl. 05-06;0.22526;0.77396;0.22104;0.17683;0.22526
2023-08-04 Kl. 06-07;0.27048;0.80326;0.24864;0.19891;0.27048
2023-08-04 Kl. 07-08;0.29485;0.89568;0.29485;0.20940;0.29485
2023-08-04 Kl. 08-09;0.33161;0.85539;0.33161;0.20985;0.33161
2023-08-04 Kl. 09-10;0.34938;0.79904;0.34938;0.21064;0.34938
2023-08-04 Kl. 10-11;0.35500;0.77369;0.35500;0.21030;0.35500
2023-08-04 Kl. 11-12;0.34923;0.67028;0.34923;0.20996;0.34923
2023-08-04 Kl. 12-13;0.34303;0.63563;0.34303;0.20917;0.34303
2023-08-04 Kl. 13-14;0.32303;0.60478;0.31134;0.20838;0.32303
2023-08-04 Kl. 14-15;0.28921;0.55800;0.28921;0.20759;0.28921
2023-08-04 Kl. 15-16;0.28429;0.44431;0.28429;0.20725;0.28429
2023-08-04 Kl. 16-17;0.28555;0.61801;0.28555;0.20613;0.28555
2023-08-04 Kl. 17-18;0.33105;0.76776;0.33105;0.20601;0.33105
2023-08-04 Kl. 18-19;0.34994;0.78086;0.34994;0.20568;0.34994
2023-08-04 Kl. 19-20;0.34556;0.81369;0.34556;0.20658;0.34556
2023-08-04 Kl. 20-21;0.32795;0.90511;0.32795;0.20714;0.32795
2023-08-04 Kl. 21-22;0.29471;0.95640;0.29471;0.20703;0.29471
2023-08-04 Kl. 22-23;0.25499;0.97598;0.25499;0.20399;0.25499
2023-08-04 Kl. 23-00;0.23976;0.96978;0.23976;0.19181;0.23976
2023-08-05 Kl. 00-01;0.32668;0.96590;0.18171;0.14537;0.32668
2023-08-05 Kl. 01-02;0.27719;0.96198;0.18088;0.14470;0.27719
2023-08-05 Kl. 02-03;0.25804;0.95849;0.17585;0.14068;0.25804
2023-08-05 Kl. 03-04;0.24266;0.95876;0.17361;0.13889;0.24266
2023-08-05 Kl. 04-05;0.23665;0.96030;0.17165;0.13732;0.23665
2023-08-05 Kl. 05-06;0.23385;0.95835;0.14258;0.11406;0.23385
2023-08-05 Kl. 06-07;0.23861;0.96059;0.17879;0.14303;0.23861
2023-08-05 Kl. 07-08;0.21163;0.97778;0.21163;0.16930;0.21163
2023-08-05 Kl. 08-09;0.22546;0.98379;0.22546;0.18037;0.22546
2023-08-05 Kl. 09-10;0.24113;0.99776;0.23665;0.18932;0.24113
2023-08-05 Kl. 10-11;0.24099;1.00531;0.24099;0.19279;0.24099
2023-08-05 Kl. 11-12;0.24169;1.00266;0.23708;0.18966;0.24169
2023-08-05 Kl. 12-13;0.25216;0.89321;0.23120;0.18496;0.25216
2023-08-05 Kl. 13-14;0.24909;0.79955;0.22939;0.18351;0.24909
2023-08-05 Kl. 14-15;0.25440;0.79830;0.23078;0.18462;0.25440
2023-08-05 Kl. 15-16;0.24518;0.91334;0.23525;0.18820;0.24518
2023-08-05 Kl. 16-17;0.24755;1.01580;0.23973;0.19178;0.24755
2023-08-05 Kl. 17-18;0.25231;0.99204;0.25091;0.20073;0.25231
2023-08-05 Kl. 18-19;0.25790;0.99749;0.25790;0.20632;0.25790
2023-08-05 Kl. 19-20;0.26111;1.00056;0.26111;0.20766;0.26111
2023-08-05 Kl. 20-21;0.25370;0.99833;0.25370;0.20296;0.25370
2023-08-05 Kl. 21-22;0.25203;0.99679;0.25203;0.20162;0.25203
2023-08-05 Kl. 22-23;0.24784;0.99944;0.24784;0.19827;0.24784
2023-08-05 Kl. 23-00;0.23959;1.00070;0.23959;0.19167;0.23959
2023-08-06 Kl. 00-01;0.26446;0.94960;0.21104;0.16883;0.26446
2023-08-06 Kl. 01-02;0.24054;0.94960;0.20561;0.16449;0.24054
2023-08-06 Kl. 02-03;0.22231;0.94863;0.18739;0.14991;0.22231
2023-08-06 Kl. 03-04;0.21883;0.94376;0.18015;0.14412;0.21883
2023-08-06 Kl. 04-05;0.21299;0.91886;0.17209;0.13767;0.21299
2023-08-06 Kl. 05-06;0.21465;0.85473;0.15359;0.12287;0.21465
2023-08-06 Kl. 06-07;0.20743;0.82733;0.15679;0.12543;0.20743
2023-08-06 Kl. 07-08;0.19949;0.89006;0.17529;0.14023;0.19949
2023-08-06 Kl. 08-09;0.22245;0.85375;0.22245;0.17796;0.22245
2023-08-06 Kl. 09-10;0.22676;0.81410;0.22676;0.18141;0.22676
2023-08-06 Kl. 10-11;0.25361;0.71895;0.23219;0.18575;0.25361
2023-08-06 Kl. 11-12;0.27295;0.64035;0.22801;0.18241;0.27295
2023-08-06 Kl. 12-13;0.28408;0.48705;0.22593;0.18074;0.28408
2023-08-06 Kl. 13-14;0.17334;0.17334;0.17334;0.13867;0.17334
2023-08-06 Kl. 14-15;0.16639;0.17181;0.16639;0.13311;0.16639
2023-08-06 Kl. 15-16;0.12646;0.13063;0.12646;0.10117;0.12646
2023-08-06 Kl. 16-17;0.19894;0.25291;0.16430;0.13144;0.19894
2023-08-06 Kl. 17-18;0.30759;0.61559;0.16333;0.13066;0.30759
2023-08-06 Kl. 18-19;0.29326;0.78600;0.15330;0.12264;0.29326
2023-08-06 Kl. 19-20;0.30494;0.91816;0.15248;0.12198;0.30494
2023-08-06 Kl. 20-21;0.30634;0.96685;0.16639;0.13311;0.30634
2023-08-06 Kl. 21-22;0.30411;0.95448;0.16458;0.13166;0.30411
2023-08-06 Kl. 22-23;0.29311;0.91816;0.15929;0.12743;0.29311
2023-08-06 Kl. 23-00;0.27824;0.79728;0.13716;0.10973;0.27824
2023-08-07 Kl. 00-01;0.30300;0.73328;0.04063;0.03250;0.30300
2023-08-07 Kl. 01-02;0.29563;0.64119;0.03228;0.02582;0.29563
2023-08-07 Kl. 02-03;0.29256;0.44266;0.02281;0.01825;0.29256
2023-08-07 Kl. 03-04;0.09753;0.10073;0.01364;0.01091;0.09753
2023-08-07 Kl. 04-05;0.04939;0.05091;0.00695;0.00556;0.04939
2023-08-07 Kl. 05-06;0.00139;0.00139;0.00139;0.00111;0.00139
2023-08-07 Kl. 06-07;0.27600;0.59793;0.00529;0.00423;0.27600
2023-08-07 Kl. 07-08;0.23636;0.69489;0.03200;0.02560;0.23636
2023-08-07 Kl. 08-09;0.27336;0.65315;0.06121;0.04897;0.27336
2023-08-07 Kl. 09-10;0.29506;0.52725;0.06900;0.05520;0.29506
2023-08-07 Kl. 10-11;0.14218;0.14218;0.05663;0.04530;0.14218
2023-08-07 Kl. 11-12;0.01433;0.01433;0.01391;0.01113;0.01433
2023-08-07 Kl. 12-13;0.00084;0.00084;0.00084;0.00067;0.00084
2023-08-07 Kl. 13-14;0.00000;0.00000;0.00000;0.00000;0.00000
2023-08-07 Kl. 14-15;-0.00011;-0.00011;-0.00011;-0.00011;-0.00011
2023-08-07 Kl. 15-16;-0.00011;-0.00011;-0.00011;-0.00011;-0.00011
2023-08-07 Kl. 16-17;-0.00189;-0.00189;-0.00189;-0.00189;-0.00189
2023-08-07 Kl. 17-18;-0.00045;-0.00045;-0.00045;-0.00045;-0.00045
2023-08-07 Kl. 18-19;0.01085;0.01085;0.01085;0.00868;0.01085
2023-08-07 Kl. 19-20;0.06371;0.17640;0.04076;0.03261;0.06371
2023-08-07 Kl. 20-21;0.01961;0.41401;0.01961;0.01569;0.05329
2023-08-07 Kl. 21-22;0.00988;0.56384;0.00988;0.00790;0.03171
2023-08-07 Kl. 22-23;0.00125;0.01530;0.00014;0.00011;0.00125
2023-08-07 Kl. 23-00;-0.00078;-0.00078;-0.00078;-0.00078;-0.00078
2023-08-08 Kl. 00-01;-0.04781;-0.04781;-0.04781;-0.04781;-0.04781
2023-08-08 Kl. 01-02;-0.06735;-0.06735;-0.05596;-0.05596;-0.06021
2023-08-08 Kl. 02-03;-0.06925;-0.06925;-0.05630;-0.05630;-0.06076
2023-08-08 Kl. 03-04;-0.06613;-0.06613;-0.05663;-0.05663;-0.06613
2023-08-08 Kl. 04-05;-0.04178;-0.04178;-0.04993;-0.04993;-0.04178
2023-08-08 Kl. 05-06;-0.02591;-0.02591;-0.03842;-0.03842;-0.02591
2023-08-08 Kl. 06-07;-0.01307;-0.01307;-0.01888;-0.01888;-0.01307
2023-08-08 Kl. 07-08;-0.00011;0.00378;-0.00145;-0.00145;-0.00011
2023-08-08 Kl. 08-09;-0.00648;-0.00648;-0.00648;-0.00648;-0.00648
2023-08-08 Kl. 09-10;-0.02938;-0.02938;-0.02938;-0.02938;-0.02938
2023-08-08 Kl. 10-11;-0.05853;-0.05853;-0.05227;-0.00067;-0.05674
2023-08-08 Kl. 11-12;-0.06780;-0.06780;-0.05283;-0.00089;-0.06065
2023-08-08 Kl. 12-13;-0.06769;-0.06769;-0.05462;-0.02994;-0.06076
2023-08-08 Kl. 13-14;-0.06780;-0.06780;-0.05585;-0.02994;-0.06054
2023-08-08 Kl. 14-15;-0.06791;-0.06791;-0.05641;-0.02994;-0.06065
2023-08-08 Kl. 15-16;-0.07138;-0.07138;-0.05663;-0.02994;-0.06088
2023-08-08 Kl. 16-17;-0.06088;-0.06088;-0.06088;-0.06088;-0.06088
2023-08-08 Kl. 17-18;-0.02994;-0.02994;-0.02994;-0.02994;-0.02994
2023-08-08 Kl. 18-19;-0.01150;-0.01150;-0.02312;-0.02312;-0.01150
2023-08-08 Kl. 19-20;-0.01273;-0.01273;-0.02346;-0.02346;-0.01273
2023-08-08 Kl. 20-21;-0.02011;-0.01285;-0.02781;-0.02781;-0.02011
2023-08-08 Kl. 21-22;-0.02022;-0.01296;-0.03373;-0.03373;-0.02022
2023-08-08 Kl. 22-23;-0.02792;-0.01296;-0.04736;-0.04736;-0.02792
2023-08-08 Kl. 23-00;-0.02256;-0.02256;-0.05641;-0.05641;-0.02256
2023-08-09 Kl. 00-01;0.00690;0.00690;-0.06026;-0.06026;0.00690
2023-08-09 Kl. 01-02;-0.01262;-0.01262;-0.06071;-0.06071;-0.01262
2023-08-09 Kl. 02-03;-0.01295;-0.01295;-0.06860;-0.06860;-0.01295
2023-08-09 Kl. 03-04;-0.01318;-0.01318;-0.06927;-0.06927;-0.01318
2023-08-09 Kl. 04-05;-0.01329;-0.01329;-0.05868;-0.05868;-0.01329
2023-08-09 Kl. 05-06;-0.01318;-0.01318;-0.04922;-0.04922;-0.01318
2023-08-09 Kl. 06-07;-0.00034;-0.00034;-0.02253;-0.02253;-0.00034
2023-08-09 Kl. 07-08;0.00141;0.00141;0.00043;0.00034;0.00141
2023-08-09 Kl. 08-09;0.02225;0.02281;0.02225;0.01780;0.02225
2023-08-09 Kl. 09-10;0.03055;0.03154;0.03055;0.02444;0.03055
2023-08-09 Kl. 10-11;0.01958;0.04154;0.01958;0.01566;0.01958
2023-08-09 Kl. 11-12;0.02084;0.02140;0.02084;0.01667;0.02084
2023-08-09 Kl. 12-13;0.01366;0.01366;0.01324;0.01059;0.01366
2023-08-09 Kl. 13-14;0.01886;0.01886;0.01886;0.01509;0.01886
2023-08-09 Kl. 14-15;0.03675;0.03774;0.03675;0.02940;0.03675
2023-08-09 Kl. 15-16;0.03111;0.03111;0.03111;0.02489;0.03111
2023-08-09 Kl. 16-17;0.05730;0.05900;0.05730;0.04584;0.05730
2023-08-09 Kl. 17-18;0.13981;0.15995;0.10264;0.08211;0.13981
2023-08-09 Kl. 18-19;0.21163;0.24640;0.12475;0.10363;0.21163
2023-08-09 Kl. 19-20;0.24415;0.33454;0.13995;0.11196;0.24415
2023-08-09 Kl. 20-21;0.24569;0.57770;0.14164;0.11331;0.24569
2023-08-09 Kl. 21-22;0.24175;0.72581;0.15291;0.12233;0.24175
2023-08-09 Kl. 22-23;0.20951;0.73680;0.13573;0.10858;0.20951
2023-08-09 Kl. 23-00;0.20008;0.71469;0.09039;0.07231;0.20008
2023-08-10 Kl. 00-01;0.16558;0.63584;0.08545;0.06836;0.16558
2023-08-10 Kl. 01-02;0.08699;0.53414;0.08518;0.06814;0.08699
2023-08-10 Kl. 02-03;0.08125;0.59241;0.08125;0.06500;0.08125
2023-08-10 Kl. 03-04;0.07606;0.53148;0.07606;0.06085;0.07606
2023-08-10 Kl. 04-05;0.08461;0.59871;0.08461;0.06769;0.08461
2023-08-10 Kl. 05-06;0.11151;0.63668;0.11151;0.08921;0.11151
2023-08-10 Kl. 06-07;0.18674;0.69664;0.18674;0.14939;0.18674
2023-08-10 Kl. 07-08;0.24136;0.73993;0.24136;0.19309;0.24136
2023-08-10 Kl. 08-09;0.29894;0.72228;0.25005;0.20004;0.29894
2023-08-10 Kl. 09-10;0.32654;0.67213;0.25341;0.20273;0.32654
2023-08-10 Kl. 10-11;0.32388;0.63304;0.25565;0.20452;0.32388
2023-08-10 Kl. 11-12;0.32108;0.55488;0.25678;0.20542;0.32108
2023-08-10 Kl. 12-13;0.25565;0.26378;0.25565;0.20452;0.25565
2023-08-10 Kl. 13-14;0.25229;0.25985;0.25229;0.20183;0.25229
2023-08-10 Kl. 14-15;0.23563;0.24263;0.23563;0.18850;0.23563
2023-08-10 Kl. 15-16;0.23730;0.59101;0.23730;0.18984;0.23730
2023-08-10 Kl. 16-17;0.24683;0.75478;0.24683;0.19746;0.24683
2023-08-10 Kl. 17-18;0.25958;0.76654;0.25594;0.20475;0.25958
2023-08-10 Kl. 18-19;0.26251;0.76751;0.25888;0.20710;0.26251
2023-08-10 Kl. 19-20;0.25664;0.78026;0.25664;0.20531;0.25664
2023-08-10 Kl. 20-21;0.25173;0.77550;0.25173;0.20138;0.25173
2023-08-10 Kl. 21-22;0.23759;0.77900;0.23759;0.19007;0.23759
2023-08-10 Kl. 22-23;0.19611;0.77886;0.19611;0.15689;0.19611
2023-08-10 Kl. 23-00;0.13953;0.77634;0.13953;0.11162;0.13953
2023-08-11 Kl. 00-01;0.20244;0.93850;0.19208;0.15366;0.20244
2023-08-11 Kl. 01-02;0.18605;0.93738;0.18605;0.14884;0.18605
2023-08-11 Kl. 02-03;0.16083;0.93738;0.16083;0.12866;0.16083
2023-08-11 Kl. 03-04;0.14878;0.93780;0.14878;0.11902;0.14878
2023-08-11 Kl. 04-05;0.15705;0.93821;0.15705;0.12564;0.15705
2023-08-11 Kl. 05-06;0.18745;0.95938;0.18745;0.14996;0.18745
2023-08-11 Kl. 06-07;0.24110;0.96778;0.24110;0.19288;0.24110
2023-08-11 Kl. 07-08;0.27403;0.98809;0.27403;0.20857;0.27403
2023-08-11 Kl. 08-09;0.32670;0.99215;0.31984;0.21082;0.32670
2023-08-11 Kl. 09-10;0.33119;0.99188;0.33020;0.21250;0.33119
2023-08-11 Kl. 10-11;0.33035;0.98739;0.29980;0.21272;0.33035
2023-08-11 Kl. 11-12;0.28103;0.89605;0.26548;0.21182;0.28103
2023-08-11 Kl. 12-13;0.27263;0.73564;0.26506;0.21205;0.27263
2023-08-11 Kl. 13-14;0.25218;0.43640;0.25035;0.20028;0.25218
2023-08-11 Kl. 14-15;0.25974;0.62006;0.25974;0.20779;0.25974
2023-08-11 Kl. 15-16;0.26071;0.81228;0.26071;0.20857;0.26071
2023-08-11 Kl. 16-17;0.26633;0.94564;0.26633;0.21306;0.26633
2023-08-11 Kl. 17-18;0.27893;0.98235;0.27893;0.21485;0.27893
2023-08-11 Kl. 18-19;0.32011;0.97003;0.31900;0.21530;0.32011
2023-08-11 Kl. 19-20;0.32754;0.95671;0.30569;0.21362;0.32754
2023-08-11 Kl. 20-21;0.27403;0.93821;0.27403;0.21250;0.27403
2023-08-11 Kl. 21-22;0.25638;0.93821;0.25638;0.20510;0.25638
2023-08-11 Kl. 22-23;0.23453;0.93836;0.23453;0.18762;0.23453
2023-08-11 Kl. 23-00;0.19725;0.93850;0.19725;0.15780;0.19725
2023-08-12 Kl. 00-01;0.18940;0.96783;0.18940;0.15152;0.18940
2023-08-12 Kl. 01-02;0.16316;0.96155;0.16316;0.13053;0.16316
2023-08-12 Kl. 02-03;0.14576;0.96099;0.14576;0.11661;0.14576
2023-08-12 Kl. 03-04;0.12309;0.96226;0.12309;0.09847;0.12309
2023-08-12 Kl. 04-05;0.10668;0.96298;0.10668;0.08534;0.10668
2023-08-12 Kl. 05-06;0.07131;0.96983;0.07131;0.05705;0.07131
2023-08-12 Kl. 06-07;0.07616;0.97196;0.07616;0.06093;0.07616
2023-08-12 Kl. 07-08;0.11481;0.99935;0.11481;0.09185;0.11481
2023-08-12 Kl. 08-09;0.15033;1.02859;0.15033;0.12026;0.15033
2023-08-12 Kl. 09-10;0.18326;1.03144;0.18326;0.14661;0.18326
2023-08-12 Kl. 10-11;0.20366;1.00691;0.19225;0.15380;0.20366
2023-08-12 Kl. 11-12;0.21394;0.92234;0.17015;0.13612;0.21394
2023-08-12 Kl. 12-13;0.22006;0.76988;0.15531;0.12425;0.22006
2023-08-12 Kl. 13-14;0.21779;0.36084;0.14419;0.11535;0.21779
2023-08-12 Kl. 14-15;0.08558;0.08843;0.08558;0.06846;0.08558
2023-08-12 Kl. 15-16;0.09870;0.10184;0.09870;0.07896;0.09870
2023-08-12 Kl. 16-17;0.21779;0.58989;0.21779;0.17423;0.21779
2023-08-12 Kl. 17-18;0.24845;0.90693;0.24845;0.19876;0.24845
2023-08-12 Kl. 18-19;0.25586;0.99793;0.25586;0.20469;0.25586
2023-08-12 Kl. 19-20;0.25501;1.04428;0.25501;0.20401;0.25501
2023-08-12 Kl. 20-21;0.24374;1.04299;0.24374;0.19499;0.24374
2023-08-12 Kl. 21-22;0.22963;1.04299;0.22963;0.18370;0.22963
2023-08-12 Kl. 22-23;0.20936;1.04285;0.20936;0.16749;0.20936
2023-08-12 Kl. 23-00;0.18998;1.04228;0.18998;0.15198;0.18998
2023-08-13 Kl. 00-01;0.14526;1.09928;0.14526;0.11621;0.14526
2023-08-13 Kl. 01-02;0.15141;1.09841;0.15141;0.12113;0.15141
2023-08-13 Kl. 02-03;0.15328;1.09083;0.15328;0.12262;0.15328
2023-08-13 Kl. 03-04;0.16086;0.96804;0.16086;0.12869;0.16086
2023-08-13 Kl. 04-05;0.16903;0.95688;0.16903;0.13522;0.16903
2023-08-13 Kl. 05-06;0.13310;0.99880;0.13310;0.10648;0.13310
2023-08-13 Kl. 06-07;0.15013;1.07580;0.15013;0.12010;0.15013
2023-08-13 Kl. 07-08;0.18949;1.00238;0.18949;0.15159;0.18949
2023-08-13 Kl. 08-09;0.22741;0.92925;0.22741;0.18193;0.22741
2023-08-13 Kl. 09-10;0.24344;0.76166;0.24344;0.19475;0.24344
2023-08-13 Kl. 10-11;0.22613;0.42920;0.22613;0.18090;0.22613
2023-08-13 Kl. 11-12;0.20021;0.20880;0.19736;0.15789;0.20021
2023-08-13 Kl. 12-13;0.08601;0.08644;0.08601;0.06881;0.08601
2023-08-13 Kl. 13-14;0.01574;0.01574;0.06011;0.04809;0.01574
2023-08-13 Kl. 14-15;0.02161;0.02161;0.05539;0.04431;0.02161
2023-08-13 Kl. 15-16;0.09904;0.11393;0.09904;0.07923;0.09904
2023-08-13 Kl. 16-17;0.24730;0.71744;0.24730;0.19784;0.24730
2023-08-13 Kl. 17-18;0.27621;0.93196;0.27621;0.21399;0.27621
2023-08-13 Kl. 18-19;0.27865;0.97763;0.27865;0.21456;0.27865
2023-08-13 Kl. 19-20;0.27894;1.09584;0.27894;0.21490;0.27894
2023-08-13 Kl. 20-21;0.26705;1.09684;0.26705;0.21364;0.26705
2023-08-13 Kl. 21-22;0.26019;1.09770;0.26019;0.20815;0.26019
2023-08-13 Kl. 22-23;0.24601;1.09770;0.24601;0.19681;0.24601
2023-08-13 Kl. 23-00;0.20265;1.09569;0.20265;0.16212;0.20265
2023-08-14 Kl. 00-01;0.22140;1.08783;0.22140;0.17712;0.22140
2023-08-14 Kl. 01-02;0.20895;1.08410;0.20895;0.16716;0.20895
2023-08-14 Kl. 02-03;0.20380;1.08396;0.20380;0.16304;0.20380
2023-08-14 Kl. 03-04;0.20280;1.08381;0.20280;0.16224;0.20280
2023-08-14 Kl. 04-05;0.20838;1.03459;0.20838;0.16670;0.20838
2023-08-14 Kl. 05-06;0.23013;1.08481;0.23013;0.18410;0.23013
2023-08-14 Kl. 06-07;0.26133;1.09269;0.26133;0.20906;0.26133
2023-08-14 Kl. 07-08;0.33675;1.10241;0.31328;0.21547;0.33675
2023-08-14 Kl. 08-09;0.42935;1.11530;0.39900;0.21433;0.42935
2023-08-14 Kl. 09-10;0.36995;1.16339;0.36995;0.21502;0.36995
2023-08-14 Kl. 10-11;0.35306;1.11315;0.35306;0.21570;0.35306
2023-08-14 Kl. 11-12;0.34906;1.07436;0.34906;0.21559;0.34906
2023-08-14 Kl. 12-13;0.34591;0.96975;0.34591;0.21318;0.34591
2023-08-14 Kl. 13-14;0.33045;0.88703;0.33045;0.21307;0.33045
2023-08-14 Kl. 14-15;0.32058;0.93240;0.32058;0.21250;0.32058
2023-08-14 Kl. 15-16;0.30884;1.02971;0.30884;0.21318;0.30884
2023-08-14 Kl. 16-17;0.32874;1.11129;0.32874;0.21410;0.32874
2023-08-14 Kl. 17-18;0.34935;1.11029;0.34935;0.21433;0.34935
2023-08-14 Kl. 18-19;0.40044;1.10829;0.35564;0.21525;0.40044
2023-08-14 Kl. 19-20;0.35306;1.10385;0.35306;0.21616;0.35306
2023-08-14 Kl. 20-21;0.35178;1.10170;0.35178;0.21582;0.35178
2023-08-14 Kl. 21-22;0.31485;1.10070;0.31485;0.21525;0.31485
2023-08-14 Kl. 22-23;0.26248;1.09670;0.26248;0.20998;0.26248
2023-08-14 Kl. 23-00;0.23471;1.09040;0.23471;0.18777;0.23471
2023-08-15 Kl. 00-01;0.24326;1.10894;0.24326;0.19461;0.24326
2023-08-15 Kl. 01-02;0.22841;1.10109;0.22841;0.18273;0.22841
2023-08-15 Kl. 02-03;0.21256;1.09453;0.21256;0.17005;0.21256
2023-08-15 Kl. 03-04;0.21670;1.08110;0.21670;0.17336;0.21670
2023-08-15 Kl. 04-05;0.21856;1.05898;0.21856;0.17485;0.21856
2023-08-15 Kl. 05-06;0.24769;1.06354;0.24769;0.19815;0.24769
2023-08-15 Kl. 06-07;0.27366;1.07196;0.27366;0.21357;0.27366
2023-08-15 Kl. 07-08;0.32634;1.06740;0.32634;0.21585;0.32634
2023-08-15 Kl. 08-09;0.37488;1.11165;0.37488;0.21573;0.37488
2023-08-15 Kl. 09-10;0.39886;1.24884;0.39886;0.21631;0.39886
2023-08-15 Kl. 10-11;0.37074;1.10623;0.37074;0.21973;0.37074
2023-08-15 Kl. 11-12;0.35104;0.99303;0.35104;0.22327;0.35104
2023-08-15 Kl. 12-13;0.34048;0.86240;0.34048;0.22818;0.34048
2023-08-15 Kl. 13-14;0.32678;0.42828;0.32678;0.22167;0.32678
2023-08-15 Kl. 14-15;0.32806;0.34719;0.32806;0.22076;0.32806
2023-08-15 Kl. 15-16;0.33063;0.68995;0.33063;0.22042;0.33063
2023-08-15 Kl. 16-17;0.34761;0.95761;0.34761;0.22122;0.34761
2023-08-15 Kl. 17-18;0.35546;1.05784;0.35546;0.22316;0.35546
2023-08-15 Kl. 18-19;0.34234;1.18931;0.34234;0.22464;0.34234
2023-08-15 Kl. 19-20;0.32634;1.22144;0.32634;0.22430;0.32634
2023-08-15 Kl. 20-21;0.32763;1.22714;0.32763;0.22362;0.32763
2023-08-15 Kl. 21-22;0.31378;1.23043;0.31378;0.22282;0.31378
2023-08-15 Kl. 22-23;0.27110;1.22415;0.27110;0.21688;0.27110
2023-08-15 Kl. 23-00;0.25069;1.21758;0.25069;0.20055;0.25069
2023-08-16 Kl. 00-01;0.21866;1.16824;0.21866;0.17493;0.21866
2023-08-16 Kl. 01-02;0.21523;1.16594;0.21523;0.17218;0.21523
2023-08-16 Kl. 02-03;0.19773;1.16536;0.19773;0.15818;0.19773
2023-08-16 Kl. 03-04;0.19471;1.16494;0.19471;0.15577;0.19471
2023-08-16 Kl. 04-05;0.19084;1.16508;0.19084;0.15267;0.19084
2023-08-16 Kl. 05-06;0.17548;1.16968;0.17548;0.14038;0.17548
2023-08-16 Kl. 06-07;0.21838;1.17269;0.21838;0.17470;0.21838
2023-08-16 Kl. 07-08;0.24479;1.19249;0.24479;0.19583;0.24479
2023-08-16 Kl. 08-09;0.26071;1.25333;0.26071;0.20857;0.26071
2023-08-16 Kl. 09-10;0.27664;1.23568;0.27664;0.21477;0.27664
2023-08-16 Kl. 10-11;0.27376;1.19191;0.27376;0.21545;0.27376
2023-08-16 Kl. 11-12;0.26573;1.19178;0.26573;0.21258;0.26573
2023-08-16 Kl. 12-13;0.25956;1.17298;0.25956;0.20765;0.25956
2023-08-16 Kl. 13-14;0.25828;1.15934;0.25828;0.20662;0.25828
2023-08-16 Kl. 14-15;0.25813;1.11429;0.25813;0.20650;0.25813
2023-08-16 Kl. 15-16;0.25583;1.15203;0.25583;0.20466;0.25583
2023-08-16 Kl. 16-17;0.25698;1.17628;0.25698;0.20558;0.25698
2023-08-16 Kl. 17-18;0.25770;1.18159;0.25770;0.20616;0.25770
2023-08-16 Kl. 18-19;0.26028;1.17513;0.26028;0.20822;0.26028
2023-08-16 Kl. 19-20;0.25770;1.17526;0.25770;0.20616;0.25770
2023-08-16 Kl. 20-21;0.30003;1.17369;0.25855;0.20684;0.30003
2023-08-16 Kl. 21-22;0.24364;1.17398;0.24364;0.19491;0.24364
2023-08-16 Kl. 22-23;0.19873;1.16881;0.19873;0.15898;0.19873
2023-08-16 Kl. 23-00;0.10345;1.16523;0.10345;0.08276;0.10345
